DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2017,AE,1017.985,964.157,921.292,897.977,895.976,905.296,931.295,931.736,927.119,900.293,872.366,855.247,842.956,846.774,878.459,931.01,1035.5,1182.622,1200.612,1194.602,1181.59,1148.539,1092.218,1021.189
2017,AE,924.521,890.501,869.699,867.212,880.712,939.984,1050.208,1101.443,1081.08,1037.836,997.65,992.789,956.975,966.365,977.222,1021.879,1109.111,1261.063,1290.295,1288.304,1267.697,1216.107,1136.342,1055.905
2017,AE,1020.717,975.527,950.418,935.966,949.808,1001.895,1115.395,1151.395,1094.464,1036.003,979.6,956.012,961.08,958.359,984.93,1036.601,1127.793,1258.406,1268.331,1252.757,1220.815,1157.544,1073.787,982.255
2017,AE,920.993,886.746,867.404,862.529,875.964,933.541,1046.288,1086.314,1057.502,991.309,956.969,934.383,921.669,928.521,951.455,997.958,1063.577,1182.286,1203.05,1189.613,1154.823,1092.642,1006.031,919.575
2017,AE,857.369,822.548,805.274,797.924,810.834,865.379,976.176,1026.202,1000.706,944.112,935.29,916.44,901.041,888.417,917.005,968.187,1068.073,1190.441,1205.367,1196.032,1178.447,1141.516,1085.912,1023.105
2017,AE,1005.297,967.97,944.392,938.97,942.509,963.058,1002.441,1029.591,1030.721,1002.135,965.371,921.595,905.628,917.719,931.037,990.213,1099.161,1229.335,1260.021,1240.088,1226.301,1185.097,1122.611,1063.448
2017,AE,928.448,891.137,873.167,866.267,888.166,945.65,1063.619,1120.123,1110.094,1102.924,1095.936,1099.223,1077.016,1066.176,1060.58,1094.393,1152.283,1253.928,1268.198,1251.674,1220.174,1160.047,1075.812,998.708
2017,AE,943.041,915.777,898.923,895.529,909.875,966.285,1083.121,1129.873,1102.934,1028.987,959.48,939.872,962.363,984.812,1004.215,1049.352,1109.02,1226.048,1252.81,1248.734,1228.692,1175.695,1100.492,1023.294
2017,AE,941.708,900.544,878.279,869.846,866.966,889.125,928.529,961.724,998.924,1040.018,1055.791,1053.091,1051.056,1039.819,1032.81,1043.704,1088.784,1173.333,1171.859,1146.712,1119.557,1074.427,1022.307,959.555
2017,AE,900.386,863.627,841.003,830.43,834.429,851.14,881.781,911.877,951.389,990.334,1013.447,1026.71,1048.262,1049.891,1059.915,1072.721,1112.431,1190.918,1198.168,1173.904,1141.488,1085.295,1009.779,940.215
2017,AE,978.716,944.651,927.489,922.78,938.298,991.401,1109.625,1148.282,1119.916,1047.128,959.537,907.292,887.224,881.637,904.269,953.099,1042.625,1168.658,1224.748,1220.297,1198.748,1141.584,1054.599,976.704
2017,AE,918.346,878.565,861.212,850.514,867.217,920.408,1033.911,1090.759,1093.301,1095.862,1098.071,1058.807,1033.952,1003.873,938.795,977.793,1074.466,1210.523,1258.277,1247.096,1218.189,1161.45,1073.446,997.021
2017,AE,1009.35,971.239,954.942,945.516,949.545,972.475,1012.884,1041.201,1059.287,1043.664,1047.564,1053.501,1075.594,1089.759,1093.386,1088.778,1110.271,1210.815,1254.223,1241.496,1220.782,1183.093,1127.503,1060.848
2017,AE,1010.105,973.019,960.454,947.927,942.807,955.023,989.332,1003.03,1004.446,1012.095,1020.078,980.857,953.639,968.29,998.159,1012.331,1068.992,1196.633,1246.73,1240.478,1220.347,1169.351,1100.077,1022.714
2017,AE,943.591,914.739,902.649,899.031,917.698,984.185,1106.091,1148.324,1104.4,1041.234,1005.346,1035.789,1045.7,1071.788,1053.711,1043.887,1118.04,1223.621,1291.092,1285.326,1266.055,1209.71,1127.386,1055.752
