DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2017,DAY,1590,1545,1530,1531,1568,1684,1857,1991,2006,2037,2051,2059,2048,2067,2052,2039,2071,2170,2181,2149,2101,2037,1927,1824
2017,DAY,1701,1650,1604,1590,1615,1720,1914,2044,2043,2052,2061,2058,2066,2057,2033,2014,2042,2135,2210,2206,2200,2137,2034,1935
2017,DAY,1871,1806,1766,1762,1766,1812,1884,1964,2027,2092,2141,2156,2143,2121,2085,2070,2065,2102,2141,2103,2063,2002,1926,1837
2017,DAY,1763,1717,1690,1697,1705,1733,1808,1876,1928,1980,1997,2002,2007,1973,1963,1956,1978,2063,2121,2091,2064,2016,1954,1886
2017,DAY,1753,1698,1661,1640,1671,1780,1963,2077,2062,2062,2070,2062,2064,2048,2027,1997,2014,2102,2165,2145,2110,2036,1928,1824
2017,DAY,1803,1746,1724,1724,1743,1859,2045,2155,2134,2134,2133,2092,2078,2066,2025,1962,1937,1969,2024,1984,1941,1886,1789,1674
2017,DAY,1540,1518,1510,1514,1568,1707,1921,2087,2108,2132,2150,2157,2146,2140,2122,2108,2130,2209,2247,2226,2178,2095,1975,1861
2017,DAY,1820,1763,1738,1724,1734,1758,1813,1904,1963,2016,2025,2048,2063,2053,2028,2043,2099,2176,2268,2254,2241,2169,2111,2033
2017,DAY,1680,1624,1583,1569,1595,1715,1911,2045,2047,2055,2068,2071,2078,2053,2023,1980,2004,2054,2104,2087,2039,1961,1846,1730
2017,DAY,1903,1854,1823,1822,1861,1980,2164,2265,2272,2213,2165,2086,2048,1994,1952,1865,1859,1839,1900,1923,1893,1832,1739,1623
2017,DAY,1579,1576,1572,1583,1642,1751,1918,2031,2077,2105,2116,2069,2034,1987,1953,1892,1882,1892,1989,2037,1990,1895,1791,1676
2017,DAY,1610,1565,1538,1538,1580,1691,1901,2016,2013,2009,2010,1991,2002,1976,1950,1917,1923,1962,2039,2047,1979,1910,1790,1679
2017,DAY,1603,1545,1513,1500,1539,1645,1844,1979,1997,2011,2033,2014,2017,2009,1981,1937,1930,1953,2038,2032,1989,1915,1794,1668
2017,DAY,1713,1668,1658,1660,1707,1833,2027,2151,2147,2181,2169,2125,2096,2106,2087,2071,2060,2085,2149,2178,2137,2055,1935,1837
2017,DAY,1765,1701,1675,1674,1703,1817,2021,2126,2124,2139,2138,2131,2124,2089,2074,2036,2043,2062,2105,2109,2081,1965,1832,1719
2017,DAY,1597,1525,1514,1508,1532,1651,1849,1970,2008,2031,2035,2011,1992,1984,1998,1989,2031,2090,2150,2195,2184,2134,2059,1953
2017,DAY,1882,1847,1823,1806,1802,1832,1923,1975,2052,2100,2117,2098,2054,1997,1958,1897,1850,1855,1941,2019,1998,1953,1894,1815
2017,DAY,1559,1512,1504,1514,1551,1679,1891,2008,2028,2053,2081,2069,2065,2063,2044,2018,2017,2047,2103,2091,2064,1941,1833,1708
2017,DAY,1640,1591,1542,1543,1567,1688,1890,2008,2005,2037,2036,2043,2037,2026,2013,1976,1975,2020,2060,2101,2069,2006,1887,1798
2017,DAY,1739,1697,1672,1681,1729,1858,2063,2115,2109,2083,2071,2043,2034,2009,1976,1927,1911,1929,1987,2062,2048,1984,1884,1776
2017,DAY,1713,1667,1641,1648,1704,1836,2069,2137,2106,2068,2041,2009,1965,1950,1915,1866,1859,1877,1939,1988,1972,1906,1793,1718
2017,DAY,1935,1899,1869,1868,1874,1926,2002,2050,2093,2091,2077,2038,1958,1917,1860,1836,1820,1853,1938,2032,2022,1995,1930,1869
2017,DAY,1809,1777,1869,1765,1773,1800,1857,1944,1972,1992,1978,1944,1940,1887,1843,1811,1802,1809,1856,1956,2088,2067,2007,1943
2017,DAY,1774,1687,1657,1636,1629,1675,1741,1832,1892,1954,1996,2003,2005,1976,1953,1932,1937,1927,1933,1952,1974,1936,1867,1753
2017,DAY,1731,1675,1650,1639,1667,1777,1990,2115,2127,2131,2119,2063,2036,2010,1972,1911,1885,1929,1957,1974,2054,2015,1919,1841
2017,DAY,1623,1578,1551,1558,1598,1719,1933,2040,2058,2058,2023,2002,1971,1971,1935,1910,1910,1924,1951,1951,1955,1885,1759,1658
2017,DAY,1593,1526,1514,1509,1544,1660,1876,2005,2045,2087,2140,2128,2134,2135,2099,2090,2116,2155,2179,2181,2243,2175,2072,1952
2017,DAY,1860,1805,1784,1773,1806,1919,2122,2234,2235,2216,2219,2161,2104,2060,2009,1928,1885,1860,1829,1791,1900,1881,1809,1699
2017,DAY,1606,1542,1496,1468,1507,1601,1813,1920,1981,2004,2051,2055,2094,2147,2158,2138,2113,2139,2097,2073,2119,2095,1943,1801
2017,DAY,1664,1577,1520,1492,1512,1620,1817,1913,1990,2061,2115,2168,2208,2245,2244,2218,2161,2100,2085,2046,2087,2042,1897,1762
2017,DAY,1548,1468,1429,1418,1453,1558,1764,1855,1891,1940,1962,1986,2020,2047,2068,2054,2064,2057,2040,2032,2062,2062,1890,1750
2017,DAY,1619,1540,1495,1475,1500,1593,1774,1881,1946,1995,2056,2097,2145,2181,2208,2222,2244,2267,2238,2165,2185,2140,1990,1815
2017,DAY,1693,1605,1546,1538,1559,1664,1842,1949,1994,2047,2079,2060,2085,2087,2059,2011,1980,1955,1919,1872,1891,1881,1765,1626
